"","target_word","comparison","mean_difference","bootstrap_se","bootstrap_me","lb","ub","significant","pvalue"
"272","885","ah",0.0495320246322081,0.0357016851662911,0.0759748009704984,-0.0264427763382904,0.125506825602706,0,0.165324036577959
"273","885","ch",0.0570801238296553,0.0330988440491079,0.0704358373357362,-0.0133557135060808,0.127515961165392,0,0.0846112581838747
"274","916213","ac",NA,0,0,NA,NA,NA,NA
"275","916213","ah",NA,0,0,NA,NA,NA,NA
"276","916213","ch",NA,0,0,NA,NA,NA,NA
"277","916219","ac",NA,0,0,NA,NA,NA,NA
"278","916219","ah",NA,0,0,NA,NA,NA,NA
"279","916219","ch",NA,0,0,NA,NA,NA,NA
"280","919216","ac",NA,0,0,NA,NA,NA,NA
"281","919216","ah",NA,0,0,NA,NA,NA,NA
"282","919216","ch",NA,0,0,NA,NA,NA,NA
"283","92714","ac",NA,0,0,NA,NA,NA,NA
"284","92714","ah",NA,0,0,NA,NA,NA,NA
"285","92714","ch",NA,0,0,NA,NA,NA,NA
"286","937","ac",0.00256001707166433,0.0312066738678424,0.0664092135992271,-0.0638491965275628,0.0689692306708915,0,0.934619452547046
"287","937","ah",-0.00739152021706104,0.0293855003590807,0.0625336739932828,-0.0699251942103438,0.0551421537762217,0,0.801399495955218
"288","937","ch",-0.00995153728872538,0.0246446463712101,0.0524449222584279,-0.0623964595471533,0.0424933849697025,0,0.686358928601347
"289","9414","ac",-0.0254387711989693,0.028618368659632,0.0609011830362787,-0.0863399542352481,0.0354624118373094,0,0.374058641626676
"290","9414","ah",-0.0935467781004263,0.0361515363500248,0.0769321046381354,-0.170478882738562,-0.0166146734622909,1,0.00966388922843686
"291","9414","ch",-0.068108006901457,0.0388322486524339,0.0826367816774983,-0.150744788578955,0.0145287747760413,0,0.0794470875748838
"292","9418","ac",0.077509399268456,0.036858653322822,0.0784368815421078,-0.000927482273651761,0.155946280810564,0,0.0354760841177948
"293","9418","ah",-0.00565880419453606,0.0442271854221212,0.0941174511589605,-0.0997762553534966,0.0884586469644245,0,0.898189690327758
"294","9418","ch",-0.0831682034629921,0.0390002764768675,0.0829943524884946,-0.166162555951487,-0.0001738509744975,1,0.0329655247081502
"295","9715","ac",-0.012971683809883,0.0370857220377429,0.0789200940387277,-0.0918917778486107,0.0659484102288448,0,0.726507048729152
"296","9715","ah",-0.0848260930157267,0.039912576149456,0.084935767458895,-0.169761860474622,0.000109674443168367,0,0.033561807815309
"297","9715","ch",-0.0718544092058437,0.0404049211606558,0.0859834999135536,-0.157837909119397,0.0141290907077099,0,0.075345098746382
"298","99","ac",0.0107925843447447,0.0277473902488389,0.0590477015801126,-0.0482551172353679,0.0698402859248573,0,0.697306817869039
"299","99","ah",0.0102449841797352,0.0396409314429964,0.0843576952359223,-0.0741127110561871,0.0946026794156575,0,0.79606380912071
"300","99","ch",-0.000547600165009499,0.0292123315191071,0.0621651628686676,-0.0627127630336771,0.0616175627036581,0,0.985044119823699
"301","apr","ac",NA,0,0,NA,NA,NA,NA
"302","apr","ah",NA,0,0,NA,NA,NA,NA
"303","apr","ch",NA,0,0,NA,NA,NA,NA
"304","april","ac",NA,0,0,NA,NA,NA,NA
"305","april","ah",NA,0,0,NA,NA,NA,NA
"306","april","ch",NA,0,0,NA,NA,NA,NA
"307","aug","ac",NA,0,0,NA,NA,NA,NA
"308","aug","ah",NA,0,0,NA,NA,NA,NA
"309","aug","ch",NA,0,0,NA,NA,NA,NA
"310","august","ac",NA,0,0,NA,NA,NA,NA
"311","august","ah",NA,0,0,NA,NA,NA,NA
"312","august","ch",NA,0,0,NA,NA,NA,NA
"313","dec","ac",0.00676581696607173,0.0137206760650816,0.0291982193100928,-0.0224324023440211,0.0359640362761645,0,0.62193412432188
"314","dec","ah",-0.0222196981718298,0.0242103772057862,0.0515207778305942,-0.073740476002424,0.0293010796587644,0,0.358736257208012
"315","dec","ch",-0.0289855151379015,0.0256966791675298,0.0546836956368423,-0.0836692107747438,0.0256981804989408,0,0.259325490023245
"316","december","ac",NA,0,0,NA,NA,NA,NA
"317","december","ah",NA,0,0,NA,NA,NA,NA
"318","december","ch",NA,0,0,NA,NA,NA,NA
"319","feb","ac",NA,0,0,NA,NA,NA,NA
"320","feb","ah",NA,0,0,NA,NA,NA,NA
"321","feb","ch",NA,0,0,NA,NA,NA,NA
